# Triangle Configuration is k x [-0.025  0.     1.   ], [0.05 0.   0.  ]
# k	 Btree	 Btreenw	 BZel	 BZelnw	 Bloop	 Bloopnw\ Bdamped
5.500000000000001416e-02 1.102020696577051878e+08 1.129970017141118944e+08 1.038225127286816537e+08 1.064014282682789266e+08 1.036455477606794089e+08 1.062183496336989701e+08 1.104342958988779634e+08
5.750000000000000944e-02 1.109552243019271940e+08 1.119594676322180480e+08 1.040733004788533151e+08 1.050385749140063375e+08 1.038673470453940630e+08 1.048356012095855176e+08 1.110207871744548231e+08
6.000000000000001166e-02 1.117072915428514481e+08 1.108169236137338579e+08 1.043001268414238840e+08 1.035885503414496779e+08 1.040618972065552324e+08 1.033659939591601789e+08 1.115620248593551368e+08
6.250000000000001388e-02 1.123263562792045027e+08 1.095847144693678766e+08 1.043839744414691627e+08 1.020633327871559113e+08 1.041143088766638339e+08 1.018262932806532085e+08 1.119403356698412001e+08
6.500000000000000222e-02 1.126848063195751458e+08 1.082766601990296394e+08 1.042229273346353322e+08 1.004833572232386619e+08 1.039182542828674912e+08 1.002307146491825432e+08 1.120471752683228701e+08
6.750000000000000444e-02 1.126724858210273832e+08 1.069051588265625834e+08 1.037278810721551478e+08 9.885944238436947763e+07 1.033880769784100354e+08 9.859219749378374219e+07 1.117944703959499002e+08
7.000000000000000666e-02 1.122055589956297725e+08 1.054812918335162848e+08 1.028355006941634417e+08 9.719957176281480491e+07 1.024652956179143637e+08 9.692227702177818120e+07 1.111214799086808860e+08
7.250000000000000888e-02 1.112339120217138380e+08 1.040149307630101591e+08 1.015194298080727905e+08 9.551730223588594794e+07 1.011234446863703877e+08 9.523080171881543100e+07 1.099998078064822555e+08
7.500000000000001110e-02 1.097458796185180843e+08 1.025148424464478344e+08 9.978538625380857289e+07 9.382231251050020754e+07 9.936983966446922719e+07 9.352614360232284665e+07 1.084356312818095088e+08
7.750000000000001332e-02 1.077675173310030103e+08 1.009887908452022970e+08 9.766599192509044707e+07 9.211787270705780387e+07 9.724372891867816448e+07 9.181644014960198104e+07 1.064670580212188959e+08
8.000000000000000167e-02 1.053593567410321534e+08 9.944363367869535089e+07 9.522837089949719608e+07 9.041512934942260385e+07 9.480959509492707253e+07 9.010740383540496230e+07 1.041593882063491195e+08
8.250000000000000389e-02 1.026093714431467801e+08 9.788541293658125401e+07 9.254895997764523327e+07 8.871271399945309758e+07 9.215259727112883329e+07 8.840620449963127077e+07 1.015974976073236018e+08
8.500000000000000611e-02 9.962396679696290195e+07 9.631943860623861849e+07 8.972856312567757070e+07 8.702330445588131249e+07 8.936461398296932876e+07 8.671596971104289591e+07 9.887708015769562125e+07
8.750000000000000833e-02 9.651881093503452837e+07 9.475036549573390186e+07 8.685692937460035086e+07 8.534471141453643143e+07 8.654187898245008290e+07 8.504179080934338272e+07 9.609633495515386760e+07
9.000000000000001055e-02 9.340935992832025886e+07 9.318226319709946215e+07 8.402753355505400896e+07 8.368305243378973007e+07 8.377330478375965357e+07 8.338710983018282056e+07 9.334807250577817857e+07
9.250000000000001277e-02 9.040209159412087500e+07 9.161867945562919974e+07 8.131836684824150801e+07 8.203981783909180760e+07 8.113499450182904303e+07 8.175474593177239597e+07 9.071302996925958991e+07
9.500000000000001499e-02 8.758797255958266556e+07 9.006269732480521500e+07 7.879145202245308459e+07 8.041666543135492504e+07 7.868701412324807048e+07 8.014754263131339848e+07 8.825547314521697164e+07
9.750000000000001721e-02 8.503825883974359930e+07 8.851698656724105775e+07 7.649859763094806671e+07 7.882015541263960302e+07 7.646789097165666521e+07 7.856638294432677329e+07 8.602099446236173809e+07
1.000000000000000194e-01 8.280161087784324586e+07 8.698384969381248951e+07 7.445969509799647331e+07 7.724724310282020271e+07 7.450057674073661864e+07 7.701388462967863679e+07 8.403559885323747993e+07
1.025000000000000078e-01 8.090335972868058085e+07 8.546526321381700039e+07 7.268515844524799287e+07 7.570105893752060831e+07 7.278700909282375872e+07 7.549068632351477444e+07 8.230654390548075736e+07
1.050000000000000100e-01 7.934699355121861398e+07 8.396291445206871629e+07 7.116252317358879745e+07 7.417980304765471816e+07 7.131621383342967927e+07 7.399865555901537836e+07 8.082478903871138394e+07
1.075000000000000122e-01 7.811589168667843938e+07 8.247823439126981795e+07 6.987687577318640053e+07 7.268884268620306253e+07 7.006032640058562160e+07 7.253724107273466885e+07 7.956752697121796012e+07
1.100000000000000144e-01 7.717466440052045882e+07 8.101242699126845598e+07 6.879186058518067002e+07 7.122680744197799265e+07 6.898530801692602038e+07 7.110807345143817365e+07 7.850035150760233402e+07
1.125000000000000167e-01 7.647418576884688437e+07 7.956649527870006859e+07 6.786512797153298557e+07 6.979264166578230262e+07 6.804899849504826963e+07 6.971052419260534644e+07 7.758172971642243862e+07
1.150000000000000189e-01 7.595489733718745410e+07 7.814126457926014066e+07 6.705253658086231351e+07 6.838724192960080504e+07 6.720819958761048317e+07 6.834571041797462106e+07 7.676599668986654282e+07
1.175000000000000211e-01 7.554920209882168472e+07 7.673740321483333409e+07 6.630785819537264109e+07 6.701139243682829291e+07 6.641817946106646210e+07 6.701339099928089976e+07 7.600553117141139507e+07
1.200000000000000094e-01 7.518786388798877597e+07 7.535544090940980613e+07 6.558648244330647588e+07 6.566635075732187927e+07 6.563794893090667576e+07 6.571216899517440796e+07 7.525515832369238138e+07
1.225000000000000117e-01 7.480276704823364317e+07 7.399578517609809339e+07 6.484459232609970123e+07 6.434863835015646368e+07 6.483365443711303920e+07 6.444365951481231302e+07 7.447389925290884078e+07
1.250000000000000278e-01 7.433217838749171793e+07 7.265873588519483805e+07 6.404816260397267342e+07 6.305783668075447530e+07 6.397748345981290191e+07 6.320712143981070817e+07 7.362794326424819231e+07
1.275000000000000300e-01 7.372465820151664317e+07 7.134449822820375860e+07 6.317401581404825300e+07 6.179904040297073126e+07 6.305360950145945698e+07 6.200090589652847499e+07 7.269244179215712845e+07
1.300000000000000322e-01 7.294205811139224470e+07 7.005319427194754779e+07 6.220297004745043814e+07 6.056510991475865245e+07 6.205257952807138860e+07 6.082669474978168309e+07 7.165249000191199780e+07
1.325000000000000344e-01 7.196248350834907591e+07 6.878487319042645395e+07 6.113073415752694756e+07 5.936076396473767608e+07 6.097768422930002213e+07 5.968121895196951181e+07 7.050385777685859799e+07
1.350000000000000366e-01 7.077901245684453845e+07 6.753952042389972508e+07 5.996003727638768405e+07 5.818279991983862966e+07 5.983779826249060780e+07 5.856566027986562997e+07 6.925124954547116160e+07
1.375000000000000389e-01 6.940273271282713115e+07 6.631706577061185986e+07 5.870281482248912752e+07 5.703017457654208690e+07 5.865038872865576297e+07 5.748003373579392582e+07 6.790890422337572277e+07
1.400000000000000411e-01 6.785615388879288733e+07 6.511739063123548031e+07 5.737864554787440598e+07 5.590513642382722348e+07 5.743612419197621942e+07 5.642334250992113352e+07 6.649614697304986417e+07
1.425000000000000433e-01 6.617598338387247920e+07 6.394033441516643018e+07 5.601004175730846822e+07 5.480615574048617482e+07 5.621570212172485143e+07 5.539309664497170597e+07 6.503804000432639569e+07
1.450000000000000455e-01 6.440395318757752329e+07 6.278570027032151818e+07 5.462178635410162807e+07 5.373223766964350641e+07 5.501094666024574637e+07 5.439070175473181158e+07 6.356012373980741948e+07
1.475000000000000477e-01 6.258831525819542259e+07 6.165326013732545078e+07 5.323855743885041028e+07 5.268240727809314430e+07 5.384068846920977533e+07 5.341479397766648978e+07 6.208883202484347671e+07
1.500000000000000222e-01 6.077560914455284923e+07 6.054275928303190321e+07 5.188393038063088059e+07 5.165694127165876329e+07 5.272002157192344218e+07 5.246559297033593804e+07 6.064738908856882900e+07
1.525000000000000244e-01 5.901149296802759171e+07 5.945392029676614702e+07 5.057657438373482972e+07 5.065392712824679166e+07 5.165742387825965881e+07 5.154059394711737335e+07 5.925632799527483433e+07
1.550000000000000266e-01 5.733456291336295009e+07 5.838644666562149674e+07 4.933376702044388652e+07 4.967479116774190962e+07 5.066013615157711506e+07 5.064178601659247279e+07 5.793093034532281756e+07
1.575000000000000289e-01 5.577725478698326647e+07 5.734002592147459090e+07 4.816328465464141965e+07 4.871579468308131397e+07 4.972533174953176826e+07 4.976523301054117829e+07 5.668207532354815304e+07
1.600000000000000311e-01 5.436250680072020739e+07 5.631433245167713612e+07 4.707763266650802642e+07 4.778161744623547792e+07 4.884747070208416879e+07 4.891205369237217307e+07 5.551528799849616736e+07
1.625000000000000333e-01 5.310385557829941064e+07 5.530902999143672734e+07 4.607407034576769918e+07 4.686859725170761347e+07 4.802131164076226950e+07 4.808180243752950430e+07 5.443136898736026138e+07
1.650000000000000355e-01 5.200694643892731518e+07 5.432377382110929489e+07 4.514881559566253424e+07 4.597522466580695659e+07 4.723914979740381241e+07 4.727419858989039063e+07 5.342754561011793464e+07
