# Triangle Configuration is k x [1 0 0], [-0.5       -0.8660254 -0.       ]
# k	 Btree	 Btreenw	 BZel	 BZelnw	 Bloop	 Bloopnw\ Bdamped
1.025000000000000078e-01 2.075907241901395097e+07 2.316286101885502040e+07 2.098297605319392681e+07 2.227125051938359439e+07 2.218146740919208899e+07 2.314223893096126243e+07 2.148437595985231549e+07
1.050000000000000100e-01 1.932274335834462568e+07 2.163619940592142195e+07 1.968399044472080469e+07 2.091292397734063119e+07 2.093174911840431392e+07 2.183641682308135927e+07 2.004886291470154747e+07
1.075000000000000122e-01 1.814294931457604840e+07 2.022845895779817551e+07 1.860141825684558600e+07 1.968994756874940544e+07 1.989042551304830611e+07 2.067465052667514235e+07 1.882387374885685369e+07
1.100000000000000144e-01 1.717389513389961421e+07 1.892903601271403581e+07 1.763877762795402855e+07 1.853414976153685898e+07 1.893858788801953569e+07 1.956681962782785669e+07 1.776997322955075651e+07
1.125000000000000167e-01 1.637158357268014736e+07 1.772838402597827837e+07 1.672446898054107837e+07 1.739641701680714637e+07 1.799246377055140585e+07 1.844928491949017346e+07 1.685075536266700551e+07
1.150000000000000189e-01 1.569452593538206816e+07 1.661789780292133614e+07 1.601363408664477058e+07 1.644274739689461142e+07 1.728166485662714392e+07 1.755388218445496634e+07 1.603345489551502280e+07
1.175000000000000211e-01 1.510391336660800502e+07 1.558981148112540320e+07 1.528466833946090564e+07 1.548702668824151345e+07 1.650761595412772894e+07 1.662478825354501605e+07 1.528913334456531703e+07
1.200000000000000094e-01 1.456531136638236791e+07 1.463710850394947082e+07 1.464843901473467425e+07 1.463436238490373455e+07 1.584044606511838362e+07 1.580923989215143584e+07 1.459370356001821533e+07
1.225000000000000117e-01 1.404880235605266318e+07 1.375344206930988282e+07 1.407164638569199666e+07 1.387345921691769548e+07 1.524657889536866546e+07 1.509869717101830617e+07 1.392779090463406220e+07
1.250000000000000278e-01 1.353028283221343905e+07 1.293306474434749223e+07 1.342665323885293864e+07 1.308986934325075708e+07 1.455030319762985781e+07 1.432987886160258576e+07 1.327715605398285203e+07
1.275000000000000300e-01 1.299215893724030629e+07 1.217076611059111357e+07 1.284724013170359842e+07 1.241206577858318947e+07 1.395397017049352825e+07 1.368832546106487140e+07 1.263259766669457033e+07
1.300000000000000322e-01 1.242375307271638513e+07 1.146181745525014400e+07 1.225930049057025835e+07 1.176665154479877092e+07 1.335556755117215216e+07 1.307085646671954915e+07 1.198960829747437499e+07
1.325000000000000344e-01 1.182150422258274630e+07 1.080192265340359882e+07 1.162950903821565397e+07 1.112648518033146113e+07 1.270776692108140327e+07 1.243890007844885066e+07 1.134789830258080736e+07
1.350000000000000366e-01 1.118772243983424269e+07 1.018717449582389556e+07 1.109121634968318790e+07 1.060241536792166717e+07 1.221032332599840127e+07 1.195651701179382391e+07 1.071020199258904345e+07
